year,country,conflict_status,count,median,q1,q3,whisker_low,whisker_high
2010,Germany,Stable,1.0,1.08099,1.08099,1.08099,1.08099,1.08099
2010,Palestine,Conflict,1.0,8.5948,8.5948,8.5948,8.5948,8.5948
2010,Syria,Stable,1.0,1.21786,1.21786,1.21786,1.21786,1.21786
2010,Ukraine,Stable,1.0,8.04845,8.04845,8.04845,8.04845,8.04845
2010,Yemen,Conflict,1.0,29.86473,29.86473,29.86473,29.86473,29.86473
2011,Germany,Stable,1.0,0.59579,0.59579,0.59579,0.59579,0.59579
2011,Palestine,Conflict,1.0,8.50866,8.50866,8.50866,8.50866,8.50866
2011,Sudan,Conflict,1.0,45.0578,45.0578,45.0578,45.0578,45.0578
2011,Syria,Conflict,1.0,0.94957,0.94957,0.94957,0.94957,0.94957
2011,Ukraine,Stable,1.0,8.6925,8.6925,8.6925,8.6925,8.6925
2012,Brazil,Conflict,1.0,5.82013,5.82013,5.82013,5.82013,5.82013
2012,Canada,Stable,1.0,0.50916,0.50916,0.50916,0.50916,0.50916
2012,Germany,Stable,1.0,0.89089,0.89089,0.89089,0.89089,0.89089
2012,Kenya,Conflict,1.0,17.28183,17.28183,17.28183,17.28183,17.28183
2012,Palestine,Conflict,1.0,6.39994,6.39994,6.39994,6.39994,6.39994
2012,Sudan,Conflict,1.0,48.59767,48.59767,48.59767,48.59767,48.59767
2012,Syria,Conflict,1.0,0.9588,0.9588,0.9588,0.9588,0.9588
2012,Ukraine,Stable,1.0,9.82786,9.82786,9.82786,9.82786,9.82786
2012,Yemen,Conflict,1.0,28.0926,28.0926,28.0926,28.0926,28.0926
2013,Brazil,Stable,1.0,3.94973,3.94973,3.94973,3.94973,3.94973
2013,Canada,Stable,1.0,0.61336,0.61336,0.61336,0.61336,0.61336
2013,Germany,Stable,1.0,0.91202,0.91202,0.91202,0.91202,0.91202
2013,Japan,Stable,1.0,0.03142,0.03142,0.03142,0.03142,0.03142
2013,Palestine,Stable,1.0,6.57582,6.57582,6.57582,6.57582,6.57582
2013,Sudan,Conflict,1.0,47.88169,47.88169,47.88169,47.88169,47.88169
2013,Syria,Conflict,1.0,35.85995,35.85995,35.85995,35.85995,35.85995
2013,Ukraine,Stable,1.0,10.71319,10.71319,10.71319,10.71319,10.71319
2013,Yemen,Conflict,1.0,27.86048,27.86048,27.86048,27.86048,27.86048
2014,Brazil,Stable,1.0,3.98233,3.98233,3.98233,3.98233,3.98233
2014,Canada,Stable,1.0,0.47471,0.47471,0.47471,0.47471,0.47471
2014,Germany,Stable,1.0,1.23104,1.23104,1.23104,1.23104,1.23104
2014,Japan,Stable,1.0,0.10237,0.10237,0.10237,0.10237,0.10237
2014,Palestine,Conflict,1.0,5.49729,5.49729,5.49729,5.49729,5.49729
2014,Sudan,Conflict,1.0,47.74398,47.74398,47.74398,47.74398,47.74398
2014,Ukraine,Conflict,1.0,11.3238,11.3238,11.3238,11.3238,11.3238
2015,Brazil,Conflict,1.0,4.41244,4.41244,4.41244,4.41244,4.41244
2015,Canada,Stable,1.0,0.29334,0.29334,0.29334,0.29334,0.29334
2015,Germany,Stable,1.0,0.85771,0.85771,0.85771,0.85771,0.85771
2015,Japan,Stable,1.0,0.14499,0.14499,0.14499,0.14499,0.14499
2015,Palestine,Stable,1.0,5.34256,5.34256,5.34256,5.34256,5.34256
2015,Sudan,Conflict,1.0,47.29448,47.29448,47.29448,47.29448,47.29448
2015,Ukraine,Conflict,1.0,15.96726,15.96726,15.96726,15.96726,15.96726
2016,Brazil,Conflict,1.0,4.25657,4.25657,4.25657,4.25657,4.25657
2016,Canada,Stable,1.0,1.44996,1.44996,1.44996,1.44996,1.44996
2016,Germany,Conflict,1.0,1.74626,1.74626,1.74626,1.74626,1.74626
2016,Japan,Stable,1.0,0.09465,0.09465,0.09465,0.09465,0.09465
2016,Palestine,Stable,1.0,4.8961,4.8961,4.8961,4.8961,4.8961
2016,Sudan,Conflict,1.0,45.54279,45.54279,45.54279,45.54279,45.54279
2016,Ukraine,Conflict,1.0,16.26054,16.26054,16.26054,16.26054,16.26054
2016,Yemen,Conflict,1.0,30.62112,30.62112,30.62112,30.62112,30.62112
2017,Brazil,Conflict,1.0,4.22335,4.22335,4.22335,4.22335,4.22335
2017,Canada,Stable,1.0,1.36776,1.36776,1.36776,1.36776,1.36776
2017,Germany,Stable,1.0,1.07963,1.07963,1.07963,1.07963,1.07963
2017,Japan,Stable,1.0,0.0502,0.0502,0.0502,0.0502,0.0502
2017,Palestine,Stable,1.0,3.85097,3.85097,3.85097,3.85097,3.85097
2017,Sudan,Conflict,1.0,43.48148,43.48148,43.48148,43.48148,43.48148
2017,Ukraine,Conflict,1.0,16.46088,16.46088,16.46088,16.46088,16.46088
2018,Brazil,Conflict,1.0,4.8282,4.8282,4.8282,4.8282,4.8282
2018,Canada,Stable,1.0,1.33824,1.33824,1.33824,1.33824,1.33824
2018,Germany,Stable,1.0,0.87091,0.87091,0.87091,0.87091,0.87091
2018,Japan,Stable,1.0,0.0925,0.0925,0.0925,0.0925,0.0925
2018,Palestine,Conflict,1.0,4.64906,4.64906,4.64906,4.64906,4.64906
2018,Sudan,Conflict,1.0,38.75254,38.75254,38.75254,38.75254,38.75254
2018,Ukraine,Conflict,1.0,16.8042,16.8042,16.8042,16.8042,16.8042
2019,Brazil,Conflict,1.0,4.19333,4.19333,4.19333,4.19333,4.19333
2019,Canada,Stable,1.0,2.81245,2.81245,2.81245,2.81245,2.81245
2019,Germany,Stable,1.0,0.95647,0.95647,0.95647,0.95647,0.95647
2019,Japan,Stable,1.0,0.08571,0.08571,0.08571,0.08571,0.08571
2019,Palestine,Conflict,1.0,5.5419,5.5419,5.5419,5.5419,5.5419
2019,Sudan,Conflict,1.0,43.83784,43.83784,43.83784,43.83784,43.83784
2019,Ukraine,Conflict,1.0,16.38291,16.38291,16.38291,16.38291,16.38291
2020,Brazil,Conflict,1.0,4.52072,4.52072,4.52072,4.52072,4.52072
2020,Canada,Stable,1.0,3.09103,3.09103,3.09103,3.09103,3.09103
2020,Germany,Stable,1.0,1.18655,1.18655,1.18655,1.18655,1.18655
2020,Japan,Stable,1.0,0.13415,0.13415,0.13415,0.13415,0.13415
2020,Palestine,Stable,1.0,6.46456,6.46456,6.46456,6.46456,6.46456
2020,Syria,Conflict,1.0,33.44051,33.44051,33.44051,33.44051,33.44051
2020,Ukraine,Conflict,1.0,16.34748,16.34748,16.34748,16.34748,16.34748
2021,Brazil,Conflict,1.0,5.22956,5.22956,5.22956,5.22956,5.22956
2021,Canada,Stable,1.0,4.77038,4.77038,4.77038,4.77038,4.77038
2021,Germany,Stable,1.0,1.46277,1.46277,1.46277,1.46277,1.46277
2021,Japan,Stable,1.0,0.03021,0.03021,0.03021,0.03021,0.03021
2021,Palestine,Conflict,1.0,8.2298,8.2298,8.2298,8.2298,8.2298
2021,Syria,Conflict,1.0,34.6112,34.6112,34.6112,34.6112,34.6112
2021,Ukraine,Conflict,1.0,15.87099,15.87099,15.87099,15.87099,15.87099
2022,Brazil,Conflict,1.0,3.98446,3.98446,3.98446,3.98446,3.98446
2022,Canada,Stable,1.0,5.25502,5.25502,5.25502,5.25502,5.25502
2022,Germany,Stable,1.0,1.9147,1.9147,1.9147,1.9147,1.9147
2022,Japan,Stable,1.0,0.09672,0.09672,0.09672,0.09672,0.09672
2022,Palestine,Conflict,1.0,9.50722,9.50722,9.50722,9.50722,9.50722
2022,Syria,Conflict,1.0,31.06999,31.06999,31.06999,31.06999,31.06999
2023,Germany,Stable,1.0,2.60674,2.60674,2.60674,2.60674,2.60674
2023,Palestine,Conflict,1.0,9.55693,9.55693,9.55693,9.55693,9.55693
2023,Syria,Conflict,1.0,26.33566,26.33566,26.33566,26.33566,26.33566
2024,Syria,Conflict,1.0,21.80503,21.80503,21.80503,21.80503,21.80503
